secs,client,point
796,code,-0.58 51.81
796,code,-0.58 51.81
796,code,-0.78 51.75
796,code,-0.78 51.75
796,code,-0.77 51.67
796,code,-0.77 51.67
797,code,-0.80 51.73
797,code,-0.80 51.73
798,code,-0.62 51.56
798,code,-0.62 51.56
798,code,-0.68 51.56
798,code,-0.68 51.56
798,code,-0.58 51.81
798,code,-0.58 51.81
801,code,1.07 51.27
801,code,1.07 51.27
801,code,1.07 51.27
801,code,1.07 51.27
801,code,1.10 51.27
801,code,1.10 51.27
801,code,1.02 51.35
801,code,1.02 51.35
804,code,1.14 51.27
804,code,1.14 51.27
804,code,1.09 51.27
804,code,1.09 51.27
804,code,1.08 51.27
804,code,1.08 51.27
804,code,1.05 51.28
804,code,1.05 51.28
807,code,1.14 51.33
807,code,1.14 51.33
807,code,1.07 51.28
807,code,1.07 51.28
807,code,1.08 51.32
807,code,1.08 51.32
807,code,1.08 51.28
807,code,1.08 51.28
808,code,1.08 51.28
808,code,1.08 51.28
809,code,0.98 51.33
809,code,0.98 51.33
809,code,1.11 51.22
809,code,1.11 51.22
809,code,1.20 51.31
809,code,1.20 51.31
809,code,1.15 51.30
809,code,1.15 51.30
809,code,1.19 51.31
809,code,1.19 51.31
809,code,1.07 51.27
809,code,1.07 51.27
809,code,1.06 51.36
809,code,1.06 51.36
812,code,-1.10 53.47
812,code,-1.10 53.47
812,code,-1.12 53.52
812,code,-1.12 53.52
812,code,-1.13 53.51
812,code,-1.13 53.51
812,code,-1.19 53.60
812,code,-1.19 53.60
812,code,-1.12 53.52
812,code,-1.12 53.52
812,code,-1.22 53.55
812,code,-1.22 53.55
812,code,-1.01 53.61
812,code,-1.01 53.61
812,code,-1.12 53.52
812,code,-1.12 53.52
812,code,-1.23 53.48
812,code,-1.23 53.48
812,code,-2.57 51.45
812,code,-2.57 51.45
814,code,-1.17 53.53
814,code,-1.17 53.53
814,code,-0.92 53.54
814,code,-0.92 53.54
814,code,-1.27 53.50
814,code,-1.27 53.50
815,code,-1.12 53.52
815,code,-1.12 53.52
815,code,-1.23 53.61
815,code,-1.23 53.61
815,code,-0.92 53.56
815,code,-0.92 53.56
815,code,-1.12 53.52
815,code,-1.12 53.52
815,code,-0.92 53.54
815,code,-0.92 53.54
817,code,-2.24 51.86
817,code,-2.24 51.86
817,code,-2.24 51.86
817,code,-2.24 51.86
818,code,-2.25 51.85
818,code,-2.25 51.85
818,code,-2.24 51.85
818,code,-2.24 51.85
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
818,code,-2.24 51.86
821,code,0.43 51.37
821,code,0.43 51.37
821,code,0.61 51.34
821,code,0.61 51.34
821,code,0.64 51.47
821,code,0.64 51.47
821,code,0.42 51.34
821,code,0.42 51.34
821,code,0.47 51.45
821,code,0.47 51.45
821,code,0.52 51.46
821,code,0.52 51.46
821,code,0.54 51.39
821,code,0.54 51.39
821,code,0.50 51.39
821,code,0.50 51.39
821,code,0.49 51.46
821,code,0.49 51.46
821,code,0.57 51.41
821,code,0.57 51.41
821,code,0.60 51.33
821,code,0.60 51.33
821,code,0.52 51.38
821,code,0.52 51.38
825,code,-0.12 51.52
825,code,-0.12 51.52
825,code,-1.62 54.97
825,code,-1.62 54.97
825,code,-1.62 54.98
825,code,-1.62 54.98
825,code,-0.13 51.51
825,code,-0.13 51.51
825,code,-1.58 54.97
825,code,-1.58 54.97
825,code,-1.69 55.02
825,code,-1.69 55.02
825,code,-1.61 54.97
825,code,-1.61 54.97
825,code,-1.68 55.05
825,code,-1.68 55.05
825,code,-1.58 54.97
825,code,-1.58 54.97
825,code,-1.61 54.97
825,code,-1.61 54.97
825,code,-1.68 55.01
825,code,-1.68 55.01
826,code,-1.64 55.19
826,code,-1.64 55.19
826,code,-1.92 55.62
826,code,-1.92 55.62
826,code,-1.80 55.12
826,code,-1.80 55.12
826,code,-1.80 55.68
826,code,-1.80 55.68
1291,browser,-1.53 51.50
1291,browser,-1.53 51.50
1329,code,-1.53 51.50
1329,code,-1.53 51.50
1384,browser,-1.48 52.90
1384,browser,-1.48 52.90
1602,browser,-0.71 51.93
1602,browser,-0.71 51.93
1632,browser,-1.25 53.53
1632,browser,-1.25 53.53
1639,code,-0.71 51.93
1639,code,-0.71 51.93
1657,browser,-1.13 53.52
1657,browser,-1.13 53.52
1681,code,-1.13 53.52
1681,code,-1.13 53.52
1806,browser,-0.71 51.93
1806,browser,-0.71 51.93
2089,browser,-0.13 51.62
2089,browser,-0.13 51.62
2105,code,-0.13 51.62
2105,code,-0.13 51.62
2357,browser,-1.06 52.02
2357,browser,-1.06 52.02
2403,browser,-0.24 51.62
2403,browser,-0.24 51.62
2416,code,-0.24 51.62
2416,code,-0.24 51.62
2544,browser,-0.28 51.33
2544,browser,-0.28 51.33
2565,code,-0.28 51.33
2565,code,-0.28 51.33
2986,browser,-1.01 53.50
2986,browser,-1.01 53.50
3057,code,-1.01 53.50
3057,code,-1.01 53.50
3178,browser,-0.28 51.55
3178,browser,-0.28 51.55
3330,browser,-2.05 51.94
3330,browser,-2.05 51.94
3351,code,-2.05 51.94
3351,code,-2.05 51.94
3405,browser,-0.63 51.60
3405,browser,-0.63 51.60
3441,browser,-2.05 51.94
3441,browser,-2.05 51.94
3617,code,-2.05 51.94
3617,code,-2.05 51.94
3733,browser,-1.29 53.49
3733,browser,-1.29 53.49
3802,browser,-1.29 53.49
3802,browser,-1.29 53.49
3913,browser,-1.29 53.49
3913,browser,-1.29 53.49
4123,browser,-0.18 51.65
4123,browser,-0.18 51.65
4258,browser,-0.73 51.64
4258,browser,-0.73 51.64
4380,code,-0.09 51.43
4380,code,-0.09 51.43
4380,code,-0.11 51.49
4380,code,-0.11 51.49
4380,code,-0.10 51.50
4380,code,-0.10 51.50
4380,code,-0.12 51.47
4380,code,-0.12 51.47
4380,code,-0.11 51.49
4380,code,-0.11 51.49
4380,code,-0.12 51.47
4380,code,-0.12 51.47
4380,code,-0.12 51.41
4380,code,-0.12 51.41
4380,code,-0.11 51.49
4380,code,-0.11 51.49
4380,code,-0.11 51.49
4380,code,-0.11 51.49
4380,code,-0.11 51.46
4380,code,-0.11 51.46
4383,code,-0.11 51.42
4383,code,-0.11 51.42
4383,code,-0.11 51.50
4383,code,-0.11 51.50
4383,code,-0.12 51.44
4383,code,-0.12 51.44
4383,code,-0.08 51.44
4383,code,-0.08 51.44
4383,code,-0.13 51.45
4383,code,-0.13 51.45
4387,code,-0.05 51.50
4387,code,-0.05 51.50
4387,code,-0.07 51.48
4387,code,-0.07 51.48
4387,code,-0.07 51.48
4387,code,-0.07 51.48
4387,code,-0.10 51.50
4387,code,-0.10 51.50
4387,code,-0.09 51.50
4387,code,-0.09 51.50
4387,code,-0.09 51.48
4387,code,-0.09 51.48
4387,code,-0.09 51.45
4387,code,-0.09 51.45
4387,code,-0.09 51.50
4387,code,-0.09 51.50
4387,code,-0.08 51.49
4387,code,-0.08 51.49
4387,code,-0.08 51.50
4387,code,-0.08 51.50
4387,code,-0.08 51.49
4387,code,-0.08 51.49
4387,code,-0.09 51.50
4387,code,-0.09 51.50
4390,code,-0.05 51.49
4390,code,-0.05 51.49
4390,code,-0.06 51.49
4390,code,-0.06 51.49
4391,code,-0.07 51.43
4391,code,-0.07 51.43
4394,code,-0.84 51.66
4394,code,-0.84 51.66
4394,code,-0.51 51.66
4394,code,-0.51 51.66
4394,code,-0.62 51.68
4394,code,-0.62 51.68
4394,code,-0.62 51.68
4394,code,-0.62 51.68
4394,code,-0.70 51.67
4394,code,-0.70 51.67
4394,code,-0.52 51.51
4394,code,-0.52 51.51
4394,code,-0.52 51.51
4394,code,-0.52 51.51
4394,code,-0.63 51.73
4394,code,-0.63 51.73
4394,code,-0.84 51.66
4394,code,-0.84 51.66
4394,code,-0.53 51.65
4394,code,-0.53 51.65
4396,code,-0.83 51.72
4396,code,-0.83 51.72
4396,code,-0.81 51.73
4396,code,-0.81 51.73
4397,code,-0.91 51.94
4397,code,-0.91 51.94
4397,code,-0.57 51.67
4397,code,-0.57 51.67
4397,code,-0.65 51.55
4397,code,-0.65 51.55
4397,code,-0.70 51.60
4397,code,-0.70 51.60
4397,code,-0.70 51.69
4397,code,-0.70 51.69
4397,code,-0.77 51.56
4397,code,-0.77 51.56
4397,code,-0.89 51.55
4397,code,-0.89 51.55
4398,code,-1.00 51.95
4398,code,-1.00 51.95
4398,code,-0.73 51.75
4398,code,-0.73 51.75
4400,code,-0.82 51.82
4400,code,-0.82 51.82
4400,code,-0.63 51.73
4400,code,-0.63 51.73
4400,code,-0.83 51.80
4400,code,-0.83 51.80
4400,code,-0.62 51.66
4400,code,-0.62 51.66
4400,code,-0.80 51.73
4400,code,-0.80 51.73
4400,code,-0.78 51.75
4400,code,-0.78 51.75
4400,code,-0.66 51.61
4400,code,-0.66 51.61
4400,code,-0.77 51.67
4400,code,-0.77 51.67
4401,code,-0.58 51.81
4401,code,-0.58 51.81
4402,code,-0.62 51.56
4402,code,-0.62 51.56
4402,code,-0.68 51.56
4402,code,-0.68 51.56
4402,code,-0.58 51.81
4402,code,-0.58 51.81
4405,code,1.07 51.27
4405,code,1.07 51.27
4405,code,1.07 51.27
4405,code,1.07 51.27
4405,code,1.10 51.27
4405,code,1.10 51.27
4405,code,1.02 51.35
4405,code,1.02 51.35
4407,code,1.14 51.27
4407,code,1.14 51.27
4409,code,1.09 51.27
4409,code,1.09 51.27
4409,code,1.08 51.27
4409,code,1.08 51.27
4409,code,1.05 51.28
4409,code,1.05 51.28
4412,code,1.14 51.33
4412,code,1.14 51.33
4412,code,1.07 51.28
4412,code,1.07 51.28
4412,code,1.08 51.32
4412,code,1.08 51.32
4412,code,1.08 51.28
4412,code,1.08 51.28
4412,code,1.08 51.28
4412,code,1.08 51.28
4413,code,1.07 51.27
4413,code,1.07 51.27
4414,code,0.98 51.33
4414,code,0.98 51.33
4414,code,1.11 51.22
4414,code,1.11 51.22
4414,code,1.20 51.31
4414,code,1.20 51.31
4414,code,1.15 51.30
4414,code,1.15 51.30
4414,code,1.19 51.31
4414,code,1.19 51.31
4414,code,1.06 51.36
4414,code,1.06 51.36
4417,code,-1.10 53.47
4417,code,-1.10 53.47
4417,code,-1.12 53.52
4417,code,-1.12 53.52
4417,code,-1.13 53.51
4417,code,-1.13 53.51
4417,code,-1.19 53.60
4417,code,-1.19 53.60
4417,code,-1.12 53.52
4417,code,-1.12 53.52
4417,code,-1.22 53.55
4417,code,-1.22 53.55
4417,code,-1.01 53.61
4417,code,-1.01 53.61
4417,code,-1.12 53.52
4417,code,-1.12 53.52
4417,code,-1.23 53.48
4417,code,-1.23 53.48
4417,code,-2.57 51.45
4417,code,-2.57 51.45
4420,code,-1.12 53.52
4420,code,-1.12 53.52
4420,code,-1.17 53.53
4420,code,-1.17 53.53
4420,code,-1.23 53.61
4420,code,-1.23 53.61
4420,code,-0.92 53.56
4420,code,-0.92 53.56
4420,code,-0.92 53.54
4420,code,-0.92 53.54
4420,code,-1.27 53.50
4420,code,-1.27 53.50
4420,code,-1.12 53.52
4420,code,-1.12 53.52
4420,code,-0.92 53.54
4420,code,-0.92 53.54
4423,code,-2.25 51.85
4423,code,-2.25 51.85
4423,code,-2.24 51.85
4423,code,-2.24 51.85
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4423,code,-2.24 51.86
4426,code,0.54 51.39
4426,code,0.54 51.39
4427,code,0.43 51.37
4427,code,0.43 51.37
4427,code,0.61 51.34
4427,code,0.61 51.34
4427,code,0.64 51.47
4427,code,0.64 51.47
4427,code,0.42 51.34
4427,code,0.42 51.34
4427,code,0.47 51.45
4427,code,0.47 51.45
4427,code,0.52 51.46
4427,code,0.52 51.46
4427,code,0.50 51.39
4427,code,0.50 51.39
4427,code,0.49 51.46
4427,code,0.49 51.46
4427,code,0.57 51.41
4427,code,0.57 51.41
4427,code,0.60 51.33
4427,code,0.60 51.33
4427,code,0.52 51.38
4427,code,0.52 51.38
4430,code,-1.62 54.97
4430,code,-1.62 54.97
4430,code,-1.62 54.98
4430,code,-1.62 54.98
4430,code,-1.69 55.02
4430,code,-1.69 55.02
4430,code,-1.61 54.97
4430,code,-1.61 54.97
4430,code,-1.68 55.05
4430,code,-1.68 55.05
4430,code,-1.58 54.97
4430,code,-1.58 54.97
4430,code,-1.61 54.97
4430,code,-1.61 54.97
4430,code,-1.68 55.01
4430,code,-1.68 55.01
4431,code,-0.12 51.52
4431,code,-0.12 51.52
4431,code,-0.13 51.51
4431,code,-0.13 51.51
4431,code,-1.58 54.97
4431,code,-1.58 54.97
4432,code,-1.64 55.19
4432,code,-1.64 55.19
4432,code,-1.92 55.62
4432,code,-1.92 55.62
4432,code,-1.80 55.12
4432,code,-1.80 55.12
4432,code,-1.80 55.68
4432,code,-1.80 55.68
4456,code,-0.73 51.64
4456,code,-0.73 51.64
4479,browser,-0.11 51.34
4479,browser,-0.11 51.34
4512,code,-1.29 53.49
4512,code,-1.29 53.49
4696,browser,-1.75 54.92
4696,browser,-1.75 54.92
5017,code,0.58 51.35
5017,code,0.58 51.35
5279,browser,-0.87 51.72
5279,browser,-0.87 51.72
5353,browser,-0.09 51.50
5353,browser,-0.09 51.50
5382,code,-0.09 51.50
5382,code,-0.09 51.50
5427,code,-1.75 54.92
5427,code,-1.75 54.92
5561,browser,-0.65 51.60
5561,browser,-0.65 51.60
5603,code,-0.65 51.60
5603,code,-0.65 51.60
5965,browser,-0.30 51.75
5965,browser,-0.30 51.75
5991,browser,-0.16 51.54
5991,browser,-0.16 51.54
5996,code,-0.30 51.75
5996,code,-0.30 51.75
6009,code,-0.16 51.54
6009,code,-0.16 51.54
6245,code,-1.75 54.92
6245,code,-1.75 54.92
6262,browser,-1.75 54.92
6262,browser,-1.75 54.92
6380,code,-1.27 53.49
6380,code,-1.27 53.49
6399,browser,-0.27 51.35
6399,browser,-0.27 51.35
6425,code,-1.27 53.49
6425,code,-1.27 53.49
6439,code,-0.27 51.35
6439,code,-0.27 51.35
6624,browser,-0.64 51.60
6624,browser,-0.64 51.60
6655,browser,-0.64 51.60
6655,browser,-0.64 51.60
6684,browser,-0.64 51.60
6684,browser,-0.64 51.60
6714,browser,-0.53 51.51
6714,browser,-0.53 51.51
6725,browser,-0.64 51.60
6725,browser,-0.64 51.60
6736,browser,-0.53 51.51
6736,browser,-0.53 51.51
6744,browser,-0.53 51.51
6744,browser,-0.53 51.51
6747,browser,-0.64 51.60
6747,browser,-0.64 51.60
6773,browser,-0.87 51.72
6773,browser,-0.87 51.72
6942,browser,-0.98 53.57
6942,browser,-0.98 53.57
6985,browser,-0.09 51.49
6985,browser,-0.09 51.49
6987,code,-0.98 53.57
6987,code,-0.98 53.57
7041,browser,-0.63 51.60
7041,browser,-0.63 51.60
7152,code,-0.09 51.49
7152,code,-0.09 51.49
7360,browser,-0.73 51.69
7360,browser,-0.73 51.69
7428,code,-0.73 51.69
7428,code,-0.73 51.69
7458,code,-0.14 51.61
7458,code,-0.14 51.61
7466,browser,-0.87 51.72
7466,browser,-0.87 51.72
7467,browser,-0.53 51.51
7467,browser,-0.53 51.51
7533,browser,-0.09 51.45
7533,browser,-0.09 51.45
7542,browser,-0.63 51.60
7542,browser,-0.63 51.60
7745,code,-0.09 51.45
7745,code,-0.09 51.45
7986,code,-0.09 51.43
7986,code,-0.09 51.43
7986,code,-0.11 51.49
7986,code,-0.11 51.49
7986,code,-0.10 51.50
7986,code,-0.10 51.50
7986,code,-0.12 51.47
7986,code,-0.12 51.47
7986,code,-0.11 51.49
7986,code,-0.11 51.49
7986,code,-0.12 51.47
7986,code,-0.12 51.47
7986,code,-0.12 51.41
7986,code,-0.12 51.41
7986,code,-0.11 51.49
7986,code,-0.11 51.49
7986,code,-0.11 51.49
7986,code,-0.11 51.49
7986,code,-0.11 51.46
7986,code,-0.11 51.46
7989,code,-0.11 51.42
7989,code,-0.11 51.42
7989,code,-0.11 51.50
7989,code,-0.11 51.50
7989,code,-0.12 51.44
7989,code,-0.12 51.44
7989,code,-0.08 51.44
7989,code,-0.08 51.44
7989,code,-0.13 51.45
7989,code,-0.13 51.45
7993,code,-0.05 51.50
7993,code,-0.05 51.50
7993,code,-0.07 51.48
7993,code,-0.07 51.48
7993,code,-0.07 51.48
7993,code,-0.07 51.48
7993,code,-0.10 51.50
7993,code,-0.10 51.50
7993,code,-0.09 51.50
7993,code,-0.09 51.50
7993,code,-0.09 51.48
7993,code,-0.09 51.48
7993,code,-0.09 51.45
7993,code,-0.09 51.45
7993,code,-0.09 51.50
7993,code,-0.09 51.50
7993,code,-0.08 51.49
7993,code,-0.08 51.49
7993,code,-0.08 51.50
7993,code,-0.08 51.50
7993,code,-0.08 51.49
7993,code,-0.08 51.49
7993,code,-0.09 51.50
7993,code,-0.09 51.50
7996,code,-0.05 51.49
7996,code,-0.05 51.49
7996,code,-0.06 51.49
7996,code,-0.06 51.49
7997,code,-0.07 51.43
7997,code,-0.07 51.43
8000,code,-0.84 51.66
8000,code,-0.84 51.66
8000,code,-0.51 51.66
8000,code,-0.51 51.66
8000,code,-0.62 51.68
8000,code,-0.62 51.68
8000,code,-0.62 51.68
8000,code,-0.62 51.68
8000,code,-0.70 51.67
8000,code,-0.70 51.67
8000,code,-0.52 51.51
8000,code,-0.52 51.51
8000,code,-0.52 51.51
8000,code,-0.52 51.51
8000,code,-0.63 51.73
8000,code,-0.63 51.73
8000,code,-0.84 51.66
8000,code,-0.84 51.66
8000,code,-0.53 51.65
8000,code,-0.53 51.65
8002,code,-0.83 51.72
8002,code,-0.83 51.72
8003,code,-0.91 51.94
8003,code,-0.91 51.94
8003,code,-0.81 51.73
8003,code,-0.81 51.73
8003,code,-0.57 51.67
8003,code,-0.57 51.67
8003,code,-0.65 51.55
8003,code,-0.65 51.55
8003,code,-1.00 51.95
8003,code,-1.00 51.95
8003,code,-0.70 51.60
8003,code,-0.70 51.60
8003,code,-0.73 51.75
8003,code,-0.73 51.75
8003,code,-0.70 51.69
8003,code,-0.70 51.69
8003,code,-0.77 51.56
8003,code,-0.77 51.56
8003,code,-0.89 51.55
8003,code,-0.89 51.55
8005,code,-0.66 51.61
8005,code,-0.66 51.61
8006,code,-0.82 51.82
8006,code,-0.82 51.82
8006,code,-0.63 51.73
8006,code,-0.63 51.73
8006,code,-0.83 51.80
8006,code,-0.83 51.80
8006,code,-0.62 51.66
8006,code,-0.62 51.66
8006,code,-0.58 51.81
8006,code,-0.58 51.81
8006,code,-0.80 51.73
8006,code,-0.80 51.73
8006,code,-0.78 51.75
8006,code,-0.78 51.75
8006,code,-0.77 51.67
8006,code,-0.77 51.67
8007,code,-0.68 51.56
8007,code,-0.68 51.56
8008,code,-0.62 51.56
8008,code,-0.62 51.56
8008,code,-0.58 51.81
8008,code,-0.58 51.81
8011,code,1.07 51.27
8011,code,1.07 51.27
8011,code,1.07 51.27
8011,code,1.07 51.27
8011,code,1.10 51.27
8011,code,1.10 51.27
8011,code,1.02 51.35
8011,code,1.02 51.35
8014,code,1.14 51.27
8014,code,1.14 51.27
8014,code,1.09 51.27
8014,code,1.09 51.27
8014,code,1.08 51.27
8014,code,1.08 51.27
8014,code,1.05 51.28
8014,code,1.05 51.28
8017,code,1.14 51.33
8017,code,1.14 51.33
8017,code,1.07 51.28
8017,code,1.07 51.28
8017,code,1.08 51.32
8017,code,1.08 51.32
8017,code,1.08 51.28
8017,code,1.08 51.28
8017,code,1.08 51.28
8017,code,1.08 51.28
8019,code,0.98 51.33
8019,code,0.98 51.33
8019,code,1.11 51.22
8019,code,1.11 51.22
8019,code,1.20 51.31
8019,code,1.20 51.31
8019,code,1.15 51.30
8019,code,1.15 51.30
8019,code,1.19 51.31
8019,code,1.19 51.31
8019,code,1.07 51.27
8019,code,1.07 51.27
8019,code,1.06 51.36
8019,code,1.06 51.36
8023,code,-1.10 53.47
8023,code,-1.10 53.47
8023,code,-1.12 53.52
8023,code,-1.12 53.52
8023,code,-1.13 53.51
8023,code,-1.13 53.51
8023,code,-1.19 53.60
8023,code,-1.19 53.60
8023,code,-1.12 53.52
8023,code,-1.12 53.52
8023,code,-1.22 53.55
8023,code,-1.22 53.55
8023,code,-1.01 53.61
8023,code,-1.01 53.61
8023,code,-1.12 53.52
8023,code,-1.12 53.52
8023,code,-1.23 53.48
8023,code,-1.23 53.48
8023,code,-2.57 51.45
8023,code,-2.57 51.45
8026,code,-1.12 53.52
8026,code,-1.12 53.52
8026,code,-1.17 53.53
8026,code,-1.17 53.53
8026,code,-1.23 53.61
8026,code,-1.23 53.61
8026,code,-0.92 53.56
8026,code,-0.92 53.56
8026,code,-0.92 53.54
8026,code,-0.92 53.54
8026,code,-1.27 53.50
8026,code,-1.27 53.50
8026,code,-1.12 53.52
8026,code,-1.12 53.52
8026,code,-0.92 53.54
8026,code,-0.92 53.54
8028,code,-2.25 51.85
8028,code,-2.25 51.85
8028,code,-2.24 51.85
8028,code,-2.24 51.85
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8028,code,-2.24 51.86
8031,code,0.43 51.37
8031,code,0.43 51.37
8031,code,0.61 51.34
8031,code,0.61 51.34
8031,code,0.64 51.47
8031,code,0.64 51.47
8031,code,0.42 51.34
8031,code,0.42 51.34
8031,code,0.47 51.45
8031,code,0.47 51.45
8031,code,0.54 51.39
8031,code,0.54 51.39
8031,code,0.49 51.46
8031,code,0.49 51.46
8031,code,0.60 51.33
8031,code,0.60 51.33
8032,code,0.52 51.46
8032,code,0.52 51.46
8032,code,0.50 51.39
8032,code,0.50 51.39
8032,code,0.57 51.41
8032,code,0.57 51.41
8032,code,0.52 51.38
8032,code,0.52 51.38
8035,code,-0.12 51.52
8035,code,-0.12 51.52
8035,code,-1.62 54.97
8035,code,-1.62 54.97
8035,code,-1.62 54.98
8035,code,-1.62 54.98
8035,code,-0.13 51.51
8035,code,-0.13 51.51
8035,code,-1.58 54.97
8035,code,-1.58 54.97
8035,code,-1.69 55.02
8035,code,-1.69 55.02
8035,code,-1.61 54.97
8035,code,-1.61 54.97
8035,code,-1.68 55.05
8035,code,-1.68 55.05
8035,code,-1.58 54.97
8035,code,-1.58 54.97
8035,code,-1.61 54.97
8035,code,-1.61 54.97
8035,code,-1.68 55.01
8035,code,-1.68 55.01
8036,code,-1.64 55.19
8036,code,-1.64 55.19
8036,code,-1.92 55.62
8036,code,-1.92 55.62
8036,code,-1.80 55.12
8036,code,-1.80 55.12
8036,code,-1.80 55.68
8036,code,-1.80 55.68
8365,browser,-0.20 51.66
8365,browser,-0.20 51.66
8377,code,-0.20 51.66
8377,code,-0.20 51.66
8536,browser,-0.63 51.60
8536,browser,-0.63 51.60
8842,browser,-0.80 51.81
8842,browser,-0.80 51.81
8891,code,-0.20 51.66
8891,code,-0.20 51.66
8959,browser,-0.80 51.81
8959,browser,-0.80 51.81
8979,browser,-0.19 51.58
8979,browser,-0.19 51.58
9054,code,-0.19 51.58
9054,code,-0.19 51.58
9331,browser,-0.71 51.63
9331,browser,-0.71 51.63
9392,browser,-0.18 51.65
9392,browser,-0.18 51.65
9416,code,-0.18 51.65
9416,code,-0.18 51.65
10137,browser,-0.36 51.81
10137,browser,-0.36 51.81
10178,browser,-1.46 51.37
10178,browser,-1.46 51.37
10226,code,-1.46 51.37
10226,code,-1.46 51.37
10353,browser,-0.36 51.81
10353,browser,-0.36 51.81
10545,browser,-1.46 51.37
10545,browser,-1.46 51.37
10557,code,-1.46 51.37
10557,code,-1.46 51.37
10867,browser,-0.36 51.81
10867,browser,-0.36 51.81
11057,browser,0.50 51.38
11057,browser,0.50 51.38
11103,code,0.50 51.38
11103,code,0.50 51.38
11543,browser,-0.19 51.55
11543,browser,-0.19 51.55
